City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Arraial Do Cabo,BR,-22.9661,-42.0278,76.87,81,0,24.47,clear sky
80,Nikel,RU,69.4128,30.222,24.98,77,100,21.9,overcast clouds
81,Eureka,US,40.8021,-124.1637,52.25,86,100,5.99,overcast clouds
82,Khatanga,RU,71.9667,102.5,-6.61,99,100,3.96,overcast clouds
83,Busselton,AU,-33.65,115.3333,61.5,62,0,12.19,clear sky
84,Koungou,YT,-12.7336,45.2042,82.11,83,40,6.91,scattered clouds
85,Rongcheng,CN,30.634,117.8517,58.37,98,100,2.73,moderate rain
86,Vardo,NO,70.3705,31.1107,24.78,80,100,28.77,overcast clouds
87,Severo-Kurilsk,RU,50.6789,156.125,28.65,72,99,8.3,overcast clouds
88,Kodiak,US,57.79,-152.4072,36.91,87,100,13.8,moderate rain
89,College,US,64.8569,-147.8028,27.09,43,75,6.91,broken clouds
90,Krutinka,RU,56.0055,71.5113,14.92,94,100,9.06,overcast clouds
91,Oktyabrskiy,RU,54.4815,53.471,33.96,87,100,10.96,overcast clouds
92,Upernavik,GL,72.7868,-56.1549,5.74,72,100,8.39,overcast clouds
93,Bonavista,CA,48.6499,-53.1147,28.62,80,93,32.84,overcast clouds
94,Brae,GB,60.3964,-1.353,47.93,93,75,16.67,broken clouds
95,Chokurdakh,RU,70.6333,147.9167,-16.71,100,92,2.06,overcast clouds
96,Kalabo,ZM,-14.97,22.6814,65.82,92,47,4.56,scattered clouds
97,Qaanaaq,GL,77.484,-69.3632,-12.21,64,25,7.34,scattered clouds
98,Kununurra,AU,-15.7667,128.7333,78.78,94,94,3.44,overcast clouds
99,Mana,GF,5.6592,-53.7767,77.13,90,100,12.88,overcast clouds
100,Coihaique,CL,-45.5752,-72.0662,57.81,58,75,5.75,broken clouds
101,Lishui,CN,28.4604,119.9103,55.78,99,100,3.15,light rain
102,Lodja,CD,-3.4833,23.4333,71.69,89,11,1.14,few clouds
103,Bani Walid,LY,31.7566,13.9942,53.22,71,4,14.18,clear sky
104,Namatanai,PG,-3.6667,152.4333,80.85,77,27,7.14,scattered clouds
105,Port Lincoln,AU,-34.7333,135.8667,59.7,76,8,8.79,clear sky
106,Bourail,NC,-21.5667,165.4833,77.05,80,34,4.38,scattered clouds
107,San Cristobal,VE,7.7669,-72.225,78.98,38,48,4.47,scattered clouds
108,Hasaki,JP,35.7333,140.8333,36.0,52,2,6.2,clear sky
109,Saint George,US,37.1041,-113.5841,79.79,11,0,3.44,clear sky
110,Walvis Bay,NA,-22.9575,14.5053,61.75,88,43,2.3,light rain
111,Maraa,BR,-1.8333,-65.3667,82.53,79,96,2.86,moderate rain
112,Colgong,IN,25.2667,87.2167,76.32,16,2,5.93,clear sky
113,Kruisfontein,ZA,-34.0033,24.7314,65.88,88,0,14.5,light rain
114,Thompson,CA,55.7435,-97.8558,39.36,60,100,4.61,overcast clouds
115,Hithadhoo,MV,-0.6,73.0833,83.7,67,3,19.39,clear sky
116,Georgetown,MY,5.4112,100.3354,80.53,83,20,0.0,few clouds
117,Necochea,AR,-38.5473,-58.7368,65.01,74,100,4.41,overcast clouds
118,Hamilton,US,39.1834,-84.5333,55.42,47,100,14.97,overcast clouds
119,Saskylakh,RU,71.9167,114.0833,-23.64,100,96,2.98,overcast clouds
120,Uyo,NG,5.0333,7.9266,80.6,82,100,5.86,overcast clouds
121,Hauterive,FR,46.0901,3.4459,45.36,63,2,3.42,clear sky
122,Thessalon,CA,46.2501,-83.5666,34.09,99,100,3.65,overcast clouds
123,Lida,BY,53.8833,25.2997,37.67,72,3,6.71,clear sky
124,Alofi,NU,-19.0595,-169.9187,76.89,94,75,2.3,heavy intensity drizzle
125,Primo Tapia,MX,32.22,-116.9172,92.88,51,10,10.42,clear sky
126,Port Alfred,ZA,-33.5906,26.891,68.47,82,35,15.7,scattered clouds
127,Yaguajay,CU,22.3272,-79.2378,85.21,56,98,3.51,overcast clouds
128,Kawalu,ID,-7.3817,108.2082,72.18,94,100,2.21,overcast clouds
129,Yantal,RU,56.8471,105.2542,10.83,95,100,3.91,overcast clouds
130,Kimberley,ZA,-28.7323,24.7623,64.56,51,0,4.14,clear sky
131,Tasiilaq,GL,65.6145,-37.6368,19.56,64,96,6.44,overcast clouds
132,Paamiut,GL,61.994,-49.6678,17.38,78,0,3.89,clear sky
133,Jizan,SA,17.3333,42.6667,79.74,67,7,5.75,clear sky
134,Puerto Ayora,EC,-0.7393,-90.3518,85.96,74,44,12.73,light rain
135,Leningradskiy,RU,69.3833,178.4167,-12.15,100,100,6.44,overcast clouds
136,Bereda,ES,43.2686,-7.5406,47.57,95,5,4.0,clear sky
